Equipo,MetaEquipo,Tabla,Link
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2023-2024/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2023-2024/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2023-2024/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2023-2024/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2023-2024/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2022-2023/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2022-2023/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2022-2023/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2022-2023/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2022-2023/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2022-2023/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2021-2022/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2021-2022/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2021-2022/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2021-2022/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2021-2022/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2021-2022/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2021-2022/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2021-2022/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2021-2022/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2021-2022/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2021-2022/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2021-2022/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats#all_matchlogs
